,Product Name,Product Price,Rating,Number of Reviews,Product URL,Product Description,Manufacturer
69,,,,school bags,/s/?k=school+bags&ref=sugsr_2&pd_rd_w=bt7BV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B77G7YVW1N4HY5ERT0ZW&pd_rd_wg=u3r8p&pd_rd_r=013783ab-d370-4d83-bb84-e5a191c8f086&qid=1692725196,,
70,,,,or,/gp/help/customer/display.html?nodeId=201889520,,
71,,,4 Stars & Up,Popular Shopping Ideas,#s-skipLinkTargetForMainSearchResults,"Amazon.in: Online Shopping India - Buy mobiles, laptops, cameras, books, watches, apparel, shoes and e-Gift Cards. Free Shipping & Cash on Delivery Available.",
72,Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black,"1,689",4.1 out of 5 stars,Price and other details may vary based on product size and colour.,/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,,
73,Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black,"1,689",4.1 out of 5 stars,668,/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,Buy Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black from Laptop Backpacks at Amazon.in. 30 days free exchange or return,Visit the POLICE Store
74,,,,,/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,,
75,Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black,"1,689",4.1 out of 5 stars,668,/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,,
76,,"1,689",,M.R.P:,/gp/goldbox/,,
77,"Genie Spray School Bag for Girls, 19 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls","1,155",4.0 out of 5 stars,"1,664",/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR,,
78,,,,,/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR,,
79,"Genie Spray School Bag for Girls, 19 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls","1,155",4.0 out of 5 stars,"1,664",/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR,,
80,,"1,155",,M.R.P:,/gp/goldbox/,,
81,ZOUK Women Laptop Bag Royal Indian Peacock Motif,"1,698",4.4 out of 5 stars,151,/ZOUK-Handmade-Leather-Handles-Multicolor/dp/B09QRYDXJH,,
82,,,,,/ZOUK-Handmade-Leather-Handles-Multicolor/dp/B09QRYDXJH,,
83,ZOUK Women Laptop Bag Royal Indian Peacock Motif,"1,698",4.4 out of 5 stars,151,/ZOUK-Handmade-Leather-Handles-Multicolor/dp/B09QRYDXJH,,
84,,"1,698",,M.R.P:,/ZOUK-Handmade-Leather-Handles-Multicolor/dp/B09QRYDXJH,,
85,Priority ARC 56 cm Red Polyester 2 Wheel Duffle Trolley Bag | Travel Luggage for Men & Women,699,4.1 out of 5 stars,328,/Priority-ARC-Red-Polyester-Trolley/dp/B08HHD4T6W,,
86,,,,,/Priority-ARC-Red-Polyester-Trolley/dp/B08HHD4T6W,,
87,Priority ARC 56 cm Red Polyester 2 Wheel Duffle Trolley Bag | Travel Luggage for Men & Women,699,4.1 out of 5 stars,328,/Priority-ARC-Red-Polyester-Trolley/dp/B08HHD4T6W,,
88,,699,,M.R.P:,/gp/goldbox/,,
89,WildHorn Leather Laptop Bag for Men I Fits Upto 15.6 Inch Laptop/MacBook I Padded Laptop Compartment I Carry Handles with Adjustable Strap I DIMENSION : L-16 inch W-4 inch H-12 inch,"2,629",4.2 out of 5 stars,973,/WildHorn-Leather-Laptop-Messenger-Dimension/dp/B079HQKSZN,,
90,,,,,/WildHorn-Leather-Laptop-Messenger-Dimension/dp/B079HQKSZN,,
91,WildHorn Leather Laptop Bag for Men I Fits Upto 15.6 Inch Laptop/MacBook I Padded Laptop Compartment I Carry Handles with Adjustable Strap I DIMENSION : L-16 inch W-4 inch H-12 inch,"2,629",4.2 out of 5 stars,973,/WildHorn-Leather-Laptop-Messenger-Dimension/dp/B079HQKSZN,,
92,,"2,629",,M.R.P:,/gp/goldbox/,,
93,HYDER Kids 20L Cartoon Printed Best Stylish Lightweight Spacious Waterproof Casual/Picnic/Tuition/School Bag/Backpack for Children Boys And Girls,499,3.9 out of 5 stars,326,/HYDER-Superhero-Lightweight-Spacious-Waterproof/dp/B0BJ6CTJ3Q,,
94,,,,,/HYDER-Superhero-Lightweight-Spacious-Waterproof/dp/B0BJ6CTJ3Q,,
95,HYDER Kids 20L Cartoon Printed Best Stylish Lightweight Spacious Waterproof Casual/Picnic/Tuition/School Bag/Backpack for Children Boys And Girls,499,3.9 out of 5 stars,326,/HYDER-Superhero-Lightweight-Spacious-Waterproof/dp/B0BJ6CTJ3Q,,
96,,499,,M.R.P:,/HYDER-Superhero-Lightweight-Spacious-Waterproof/dp/B0BJ6CTJ3Q,,
97,"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)",219,3.6 out of 5 stars,761,/STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J,,
98,,,,,/STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J,"STRAUSS Jute Yoga Mat Bag with Shoulder Strap, (Blue) : Amazon.in: Sports, Fitness & Outdoors",Visit the STRAUSS Store
99,"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)",219,3.6 out of 5 stars,761,/STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J,,
100,,219,,,/STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J,,
101,ADISA Women Girls Floral Print Round Sling Bag,390,4.2 out of 5 stars,951,/ADISA-Women-Girls-Floral-SL5073-CRE_Cream/dp/B09B575DLN,,
102,,,,,/ADISA-Women-Girls-Floral-SL5073-CRE_Cream/dp/B09B575DLN,,
103,ADISA Women Girls Floral Print Round Sling Bag,390,4.2 out of 5 stars,951,/ADISA-Women-Girls-Floral-SL5073-CRE_Cream/dp/B09B575DLN,,
104,,390,,M.R.P:,/gp/goldbox/,,
105,American Tourister Spin 49 cms Teal Laptop Backpack,"1,699",4.0 out of 5 stars,"1,494",/American-Tourister-FS0-11-001/dp/B07S13P8BW,,
106,,,,,/American-Tourister-FS0-11-001/dp/B07S13P8BW,,
107,American Tourister Spin 49 cms Teal Laptop Backpack,"1,699",4.0 out of 5 stars,"1,494",/American-Tourister-FS0-11-001/dp/B07S13P8BW,,
108,,"1,699",,M.R.P:,/American-Tourister-FS0-11-001/dp/B07S13P8BW,,
109,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,599,3.8 out of 5 stars,199,/Martucci-Waterproof-Backpack-College-Business/dp/B0B1HM2ZGX,,
110,,,,,/Martucci-Waterproof-Backpack-College-Business/dp/B0B1HM2ZGX,,
111,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,599,3.8 out of 5 stars,199,/Martucci-Waterproof-Backpack-College-Business/dp/B0B1HM2ZGX,,
112,,599,,M.R.P:,/gp/goldbox/,,
113,"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",599,4.4 out of 5 stars,199,/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,,
114,,,,,/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,,
115,"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",599,4.4 out of 5 stars,199,/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,,
116,,599,,,/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,,
117,"Nivia 5227 Pulse Junior Bag, Others (Orange) (Aqua/Green)",294,3.7 out of 5 stars,251,/Nivia-Pulse-Junior-Bag-Aqua-Green/dp/B08D7QNYZX,,
118,,,,,/Nivia-Pulse-Junior-Bag-Aqua-Green/dp/B08D7QNYZX,,
